HospitalName,AvgOutOfPocketCost,Latitude,Longitude
SOUTHEAST ALABAMA MEDICAL CENTER,1334.950358,31.2167252,-85.3630676
MARSHALL MEDICAL CENTER SOUTH,1307.934282,34.221688,-86.1607098
ELIZA COFFEE MEMORIAL HOSPITAL,1170.548146,34.7939615,-87.6826906
MIZELL MEMORIAL HOSPITAL,980.0489098,31.2919852,-86.2542062
CRENSHAW COMMUNITY HOSPITAL,1055.006748,31.6933529,-86.2650941
ST VINCENT'S EAST,1636.179409,33.596457,-86.6676502
DEKALB REGIONAL MEDICAL CENTER,1145.936033,34.4419753,-85.7550138
SHELBY BAPTIST MEDICAL CENTER,1763.567656,33.2524139,-86.8130445
HELEN KELLER MEMORIAL HOSPITAL,1261.730407,34.7460029,-87.7003008
DALE MEDICAL CENTER,1013.441193,31.451328,-85.632075
CHEROKEE MEDICAL CENTER,1052.81784,34.1615289,-85.6508729
BAPTIST MEDICAL CENTER SOUTH,1746.623933,32.3279556,-86.2777512
JACKSON HOSPITAL & CLINIC INC,1524.254767,32.3670831,-86.2853492
EAST ALABAMA MEDICAL CENTER,1454.168774,32.6401629,-85.4037506
TANNER MEDICAL CENTER-EAST ALABAMA,875,33.2950843,-85.4787716
UNIVERSITY OF ALABAMA HOSPITAL,5416.545918,33.5056591,-86.8020205
COMMUNITY HOSPITAL INC,1580.377119,32.5273863,-85.9097444
CULLMAN REGIONAL MEDICAL CENTER,1217.595681,34.2010863,-86.8057409
ANDALUSIA REGIONAL HOSPITAL,1099.763584,31.2962978,-86.4947624
STRINGFELLOW MEMORIAL HOSPITAL,1183.104277,33.6683385,-85.8239435
HUNTSVILLE HOSPITAL,2434.432223,34.7212005,-86.5806617
GADSDEN REGIONAL MEDICAL CENTER,1442.669237,34.0077767,-85.9657366
MARION REGIONAL MEDICAL CENTER,1077.271864,34.1267995,-87.9914652
FAYETTE MEDICAL CENTER,944.6058422,33.7080266,-87.8242179
RIVERVIEW REGIONAL MEDICAL CENTER,1085.859198,34.004403,-86.003626
GEORGIANA MEDICAL CENTER,1041.509829,31.6363932,-86.7431303
